epoch,date,allocation
1,2025-01-01,3479788.7
2,2025-01-06,2195502.227
3,2025-01-11,1739894.35
4,2025-01-16,1498663.42
5,2025-01-21,1346166.027
6,2025-01-26,1239525.745
7,2025-01-31,1159929.567
8,2025-02-05,1097751.114
9,2025-02-10,1047520.777
10,2025-02-15,1005884.516
11,2025-02-20,970662.5102
12,2025-02-25,940371.6761
13,2025-03-02,913964.8841
14,2025-03-07,890679.8424
15,2025-03-12,869947.175
16,2025-03-17,851332.1919
17,2025-03-22,834496.7113
18,2025-03-27,819173.2766
19,2025-04-01,805147.2916
20,2025-04-06,792244.3588
21,2025-04-11,780321.1256
22,2025-04-16,769258.5475
23,2025-04-21,758956.8507
24,2025-04-26,749331.7101
25,2025-05-01,740311.3131
26,2025-05-06,731834.0757
27,2025-05-11,723846.8464
28,2025-05-16,716303.4815
29,2025-05-21,709163.702
30,2025-05-26,702392.1706
31,2025-05-31,695957.74
32,2025-06-05,689832.8358
33,2025-06-10,683992.9467
34,2025-06-15,678416.2014
35,2025-06-20,673083.0136
36,2025-06-25,667975.7848
37,2025-06-30,663078.6517
38,2025-07-05,658377.2731
39,2025-07-10,653858.6463
40,2025-07-15,649510.9515
41,2025-07-20,645323.4161
42,2025-07-25,641286.1991
43,2025-07-30,637390.2895
44,2025-08-04,633627.4185
45,2025-08-09,629989.9825
46,2025-08-14,626470.9762
47,2025-08-19,623063.9328
48,2025-08-24,619762.8723
49,2025-08-29,616562.2551
50,2025-09-03,613456.9413
51,2025-09-08,610442.154
52,2025-09-13,607513.4471
53,2025-09-18,604666.6766
54,2025-09-23,601897.9743
55,2025-09-28,599203.7247
56,2025-10-03,596580.5444
57,2025-10-08,594025.2628
58,2025-10-13,591534.9055
59,2025-10-18,589106.6787
60,2025-10-23,586737.9555
61,2025-10-28,584426.2632
62,2025-11-02,582169.2717
63,2025-11-07,579964.7833
64,2025-11-12,577810.723
65,2025-11-17,575705.1296
66,2025-11-22,573646.1484
67,2025-11-27,571632.0232
68,2025-12-02,569661.09
69,2025-12-07,567731.7707
70,2025-12-12,565842.5676
71,2025-12-17,563992.0581
72,2025-12-22,562178.89
73,2025-12-27,560401.777
74,2026-01-01,558659.4944
75,2026-01-06,556950.8757
76,2026-01-11,555274.8091
77,2026-01-16,553630.2338
78,2026-01-21,552016.1375
79,2026-01-26,550431.5531
80,2026-01-31,548875.5568
81,2026-02-05,547347.2647
82,2026-02-10,545845.8316
83,2026-02-15,544370.4481
84,2026-02-20,542920.339
85,2026-02-25,541494.7614
86,2026-03-02,540093.0029
87,2026-03-07,538714.3801
88,2026-03-12,537358.237
89,2026-03-17,536023.9439
90,2026-03-22,534710.8955
91,2026-03-27,533418.5102
92,2026-04-01,532146.2287
93,2026-04-06,530893.5127
94,2026-04-11,529659.8445
95,2026-04-16,528444.7253
96,2026-04-21,527247.6748
97,2026-04-26,526068.2301
98,2026-05-01,524905.9448
99,2026-05-06,523760.3886
100,2026-05-11,522631.1464
101,2026-05-16,521517.8172
102,2026-05-21,520420.0143
103,2026-05-26,519337.3639
104,2026-05-31,518269.5049
105,2026-06-05,517216.0883
106,2026-06-10,516176.7768
107,2026-06-15,515151.244
108,2026-06-20,514139.1743
109,2026-06-25,513140.262
110,2026-06-30,512154.2114
111,2026-07-05,511180.7361
112,2026-07-10,510219.5586
113,2026-07-15,509270.4102
114,2026-07-20,508333.0301
115,2026-07-25,507407.1658
116,2026-07-30,506492.5724
117,2026-08-04,505589.0121
118,2026-08-09,504696.2544
119,2026-08-14,503814.0755
120,2026-08-19,502942.2581
121,2026-08-24,502080.5912
122,2026-08-29,501228.8699
123,2026-09-03,500386.8952
124,2026-09-08,499554.4734
125,2026-09-13,498731.4166
126,2026-09-18,497917.5419
127,2026-09-23,497112.6714
128,2026-09-28,496316.6324
129,2026-10-03,495529.2563
130,2026-10-08,494750.3796
131,2026-10-13,493979.8429
132,2026-10-18,493217.4908
133,2026-10-23,492463.1725
134,2026-10-28,491716.7407
135,2026-11-02,490978.0521
136,2026-11-07,490246.967
137,2026-11-12,489523.3492
138,2026-11-17,488807.0662
139,2026-11-22,488097.9885
140,2026-11-27,487395.9901
141,2026-12-02,486700.9479
142,2026-12-07,486012.7419
143,2026-12-12,485331.2551
144,2026-12-17,484656.3733
145,2026-12-22,483987.9849
146,2026-12-27,483325.9812
147,2027-01-01,482670.2558
148,2027-01-06,482020.705
149,2027-01-11,481377.2276
150,2027-01-16,480739.7245
151,2027-01-21,480108.099
152,2027-01-26,479482.2566
153,2027-01-31,478862.1051
154,2027-02-05,478247.5541
155,2027-02-10,477638.5154
156,2027-02-15,477034.9028
157,2027-02-20,476436.6319
158,2027-02-25,475843.6203
159,2027-03-02,475255.7871
160,2027-03-07,474673.0536
161,2027-03-12,474095.3424
162,2027-03-17,473522.5779
163,2027-03-22,472954.6863
164,2027-03-27,472391.595
165,2027-04-01,471833.2332
166,2027-04-06,471279.5316
167,2027-04-11,470730.422
168,2027-04-16,470185.8381
169,2027-04-21,469645.7145
